City_name,lat,long,max_temp,humidity,cloud,wind_speed,country
bayan,46.08,127.4,24.15,72,0,2.62,CN
severo-kurilsk,50.68,156.12,8.09,89,92,3.74,RU
guilin,25.28,110.29,26.0,94,90,0.56,CN
san patricio,19.22,-104.7,28.0,69,90,1.27,MX
daitari,21.1,85.75,25.82,93,89,0.97,IN
tuktoyaktuk,69.45,-133.04,5.0,93,90,6.2,CA
codrington,-38.27,141.97,8.82,88,100,8.14,AU
tombouctou,20.0,-3.0,33.46,11,0,1.85,ML
bubaque,11.28,-15.83,26.88,83,100,4.42,GW
chuy,-33.7,-53.46,6.48,88,75,2.97,UY
teguldet,57.31,88.17,19.36,94,13,2.53,RU
mahebourg,-20.41,57.7,22.0,78,40,6.7,MU
smithers,54.78,-127.17,13.0,93,90,2.6,CA
marsaxlokk,35.84,14.54,23.89,88,20,4.6,MT
klaksvik,62.23,-6.59,6.0,87,100,2.6,FO
nanortalik,60.14,-45.24,6.33,77,100,2.39,GL
yurla,59.33,54.32,12.4,97,100,2.12,RU
tiznit,29.58,-9.5,26.57,31,7,1.05,MA
sivas,39.79,37.0,12.0,93,0,1.0,TR
salalah,17.02,54.09,27.0,100,90,3.6,OM
heerde,52.39,6.04,14.44,94,6,0.89,NL
port elizabeth,-33.92,25.57,16.0,67,20,7.2,ZA
luderitz,-26.65,15.16,16.0,55,0,3.1,NA
griffith,41.53,-87.42,28.33,57,1,2.6,US
hasaki,35.73,140.83,28.33,65,75,4.1,JP
bolshaya dzhalga,45.97,42.7,19.45,51,0,3.98,RU
bengkulu,-3.8,102.27,25.48,80,100,0.92,ID
san lawrenz,36.06,14.2,23.89,88,20,5.1,MT
cidreira,-30.18,-50.21,9.4,74,0,4.7,BR
dikson,73.51,80.55,8.3,76,14,5.21,RU
joensuu,62.6,29.76,12.0,81,90,2.1,FI
sangar,63.92,127.47,18.22,56,93,8.26,RU
tual,-5.67,132.75,26.76,82,6,8.34,ID
pangnirtung,66.15,-65.71,11.84,49,44,0.62,CA
longyearbyen,78.22,15.64,6.0,70,40,3.6,SJ
najran,17.49,44.13,30.0,22,93,1.5,SA
touros,-5.2,-35.46,24.0,94,20,1.5,BR
cabo san lucas,22.89,-109.91,29.44,69,40,3.6,MX
upernavik,72.79,-56.15,3.69,80,7,4.16,GL
choix,26.71,-108.32,35.53,36,11,3.89,MX
moranbah,-22.0,148.05,19.52,57,0,5.28,AU
hambantota,6.12,81.12,27.14,79,97,6.53,LK
severnyy,50.68,36.55,20.0,77,14,1.7,RU
amahai,-3.33,128.92,26.26,83,74,1.78,ID
saint-pierre,-21.34,55.48,16.0,77,8,4.1,RE
portland,45.52,-122.68,23.33,40,20,2.1,US
adrar,20.5,-10.07,35.05,16,38,1.23,MR
nanga eboko,4.68,12.37,20.34,98,74,1.49,CM
minab,27.15,57.08,32.0,70,0,4.1,IR
meadow lake,34.8,-106.54,34.44,17,40,4.6,US
shahr-e babak,30.12,55.12,21.94,30,45,1.22,IR
zhicheng,30.3,111.5,26.11,94,50,1.02,CN
saldanha,-33.01,17.94,10.0,93,29,1.5,ZA
seoul,37.57,126.98,27.0,65,20,1.5,KR
dakar,14.69,-17.44,27.0,83,40,3.1,SN
florianopolis,-27.61,-48.5,13.0,66,40,3.1,BR
nhulunbuy,-12.23,136.77,27.0,74,75,6.2,AU
isabela,6.71,121.97,27.44,75,60,0.7,PH
chokurdakh,70.63,147.92,4.57,77,100,7.95,RU
saint george,37.1,-113.58,36.11,11,1,8.7,US
ribeira grande,38.52,-28.7,19.68,79,0,3.14,PT
karratha,-20.74,116.85,23.15,33,70,9.57,AU
butaritari,3.07,172.79,27.55,75,47,3.26,KI
craig,40.52,-107.55,30.0,10,1,6.7,US
tasiilaq,65.61,-37.64,9.0,66,0,2.6,GL
esperance,-33.87,121.9,9.0,100,90,2.6,AU
polis,35.04,32.43,21.0,68,20,3.1,CY
sept-iles,50.2,-66.38,16.67,77,75,2.1,CA
acajutla,13.59,-89.83,29.0,58,20,1.5,SV
castro,-24.79,-50.01,6.62,79,21,0.35,BR
sitka,57.05,-135.33,26.0,27,40,3.1,US
loviisa,60.46,26.23,13.89,97,52,3.3,FI
henties bay,-22.12,14.28,18.68,34,0,2.12,NA
bairiki,1.33,172.98,30.0,70,20,4.6,KI
huadian,42.96,126.75,22.84,70,78,1.53,CN
clyde river,70.47,-68.59,11.0,66,20,9.8,CA
flin flon,54.77,-101.86,23.0,56,90,2.6,CA
iquique,-20.22,-70.14,17.0,67,90,2.1,CL
nome,64.5,-165.41,9.0,93,90,4.6,US
lavrentiya,65.58,-171.0,7.19,91,97,1.75,RU
acapulco,16.86,-99.89,30.0,74,40,2.1,MX
uetze,52.47,10.2,15.0,87,75,3.1,DE
